name,genre,unitssold
ã‚¹ãƒ—ãƒ¼ãƒˆãƒ‹ã‚¯ã®æ‹äºº [SupÅ«toniku no Koibito],fiction,32616
The Signature of All Things,nonfiction,32400
"Eats, Shoots and Leaves",fiction,32184
Dead Witch Walking,nonfiction,32184
,fiction,32184
An Echo in the Bone,fiction,32184
Unearthly,fiction,31968
The Case for Christ,fiction,31752
Knife of Dreams,fiction,31752
Hoot,fiction,31752
Ã†neis,fiction,31752
This is How You Lose Her,nonfiction,31536
ã‚¢ãƒ•ã‚¿ãƒ¼ãƒ€ãƒ¼ã‚¯ [AfutÄ dÄku],fiction,31536
Ishmael: An Adventure of the Mind and Spirit,fiction,31536
It's Not Summer Without You,fiction,31536
Pushing the Limits,fiction,31320
Quidditch Through the Ages,fiction,31320
Miss Nelson Is Missing!,fiction,31320
The Long Walk,nonfiction,31320
The Ersatz Elevator,nonfiction,31104
Messenger ,fiction,30888
Lover Revealed,fiction,30888
'Salem's Lot The Illustrated Edition,fiction,30672
The Mysterious Benedict Society,fiction,30672
God is Not Great: How Religion Poisons Everything,children,30456
"Never Too Far (Too Far, #2)",fiction,30456
State of Fear,fiction,30240
The Statistical Probability of Love at First Sight,fiction,30240
The Golem's Eye,nonfiction,29808
Still Life with Woodpecker,fiction,29808
Those Who Save Us,fiction,29808
The Broker,fiction,29592
Across the Universe,fiction,29376
"The Road Less Traveled:  A New Psychology of Love, Traditional Values, and Spiritual Growth",nonfiction,29160
Blood Rites,nonfiction,28944
The Boxcar Children,fiction,28944
The Silent Wife,nonfiction,28728
How to Be a Woman,fiction,28512
A Court of Mist and Fury,fiction,28512
Life,fiction,28512
Unaccustomed Earth,fiction,28296
The Pilot's Wife,fiction,28296
White Noise,fiction,28296
"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",fiction,2943
On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life,fiction,2943
Blankets,fiction,2943
The Story of Edgar Sawtelle,nonfiction,2943
Drowning Ruth,fiction,2916
Post Office,nonfiction,2916
All the Pretty Horses,fiction,2916
"Sherlock Holmes: The Complete Novels and Stories, Vol 2",nonfiction,2916
"One Piece, Volume 01",fiction,2916
The Last Unicorn,fiction,2916
Magyk,fiction,2916
Fever 1793,fiction,2916
The Likeness,fiction,2916
Dead Wake: The Last Crossing of the Lusitania,fiction,2916
The Jungle Book,fiction,2916
I Am Pilgrim,fiction,2916
Howl and Other Poems ,nonfiction,2916
Don't Sweat the Small Stuff,fiction,2916
Go the Fuck to Sleep,fiction,2916
Mostly Harmless,nonfiction,2916
Benjamin Franklin: An American Life,fiction,2916
The Tiger's Wife,fiction,2916
Poison Study,fiction,2916
Lover Unbound,fiction,2916
Going Postal,fiction,2916
The Book of Mormon,fiction,2916
The Mist,nonfiction,2916
Dead Beat,fiction,2916
Golden Son,fiction,2916
Night Watch,nonfiction,2916
The Light Fantastic,nonfiction,2916
What the Dog Saw and Other Adventures,fiction,2916
Pretty Girls,fiction,2916
Last Argument of Kings,fiction,2916
Revival,fiction,2916
Horton Hears a Who!,fiction,2916
The Blind Side: Evolution of a Game,children,2889
Lirael,fiction,2889
School's Out Forever,fiction,2889
é»’åŸ·äº‹ I [Kuroshitsuji I],nonfiction,2889
Winter,nonfiction,2889
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror ,fiction,2889
,fiction,2889
The Painted Man,fiction,2889
,fiction,2889
One Shot,fiction,2889
The Serpent's Shadow,fiction,2889
Duma Key,fiction,2889
The Shifting Fog,fiction,2889
,fiction,2889
Proven Guilty,fiction,2889
Ð—Ð°Ð¿Ð¸ÑÐºÐ¸ Ð¸Ð· Ð¿Ð¾Ð´Ð¿Ð¾Ð»ÑŒÑ,fiction,2889
The Heart is a Lonely Hunter,fiction,2889
The Infinite Sea,fiction,2889
The Once and Future King,nonfiction,2889
Small Gods,fiction,2889
"Bud, Not Buddy",fiction,2889
,fiction,2889
Predictably Irrational: The Hidden Forces that Shape Our Decisions,fiction,2889
Ø§Ù„ÙÙŠÙ„ Ø§Ù„Ø£Ø²Ø±Ù‚,nonfiction,2889
The Indian in the Cupboard,fiction,2889
A Memory of Light,fiction,2889
Me and Earl and the Dying Girl,nonfiction,2889
The Ugly Truth,nonfiction,2889
"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",fiction,2889
"The Surgeon of Crowthorne: a tale of murder, madness & the love of words",fiction,2862
2nd Chance,fiction,2862
The Complete Maus,nonfiction,2862
The Eyre Affair,nonfiction,2862
Anne Rice's The Vampire Lestat: The Graphic Novel,fiction,2862
,fiction,2862
The Art of Happiness: A Handbook for Living,nonfiction,2862
The Bone Clocks,fiction,2862
Black and Blue,fiction,2862
,fiction,2862
The Last Juror,nonfiction,2862
Diary,fiction,2862
Eleven on Top,fiction,2862
Tintenblut,fiction,2862
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",fiction,2862
Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,nonfiction,2862
White Night,fiction,2862
The Miniaturist,fiction,2862
Dragons of Autumn Twilight,nonfiction,2862
The Lost Colony,nonfiction,2862
Extras,fiction,2862
The Burning Bridge,nonfiction,2862
The Book of Life,fiction,2862
The Artist's Way: A Spiritual Path to Higher Creativity,fiction,4480
The Stinky Cheese Man and Other Fairly Stupid Tales,nonfiction,4480
Horns,nonfiction,4480
Catherine the Great: Portrait of a Woman,fiction,4480
The Year of the Flood,fiction,4480
Winter Garden,fiction,4480
The King of Torts,nonfiction,4480
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,fiction,4440
The 3 Mistakes of My Life,fiction,4440
The Murder of Roger Ackroyd,nonfiction,4440
Native Son ,fiction,4440
Shadow's Edge,fiction,4440
Under the Never Sky,fiction,4440
True Believer,fiction,4440
The Lean Startupâ€Ž,fiction,4440
The Golden Lily,fiction,4440
Chasing Harry Winston,fiction,4440
Magician's Gambit,fiction,4440
,fiction,4440
The Rise and Fall of the Third Reich: A History of Nazi Germany,fiction,4440
A Long Way Down,nonfiction,4440
Out from Boneville,fiction,4400
Rose Madder,fiction,4400
"Die Trying (Jack Reacher, #2)",fiction,4400
Beautiful Chaos,fiction,4400
Keeping Faith,fiction,4400
Heart-Shaped Box,fiction,4400
Cabin Fever,nonfiction,4400
,fiction,4400
Everyone Worth Knowing,fiction,4400
Redwall,fiction,4400
Manifest der Kommunistischen Partei,fiction,4400
The Woman in Cabin 10,nonfiction,4400
The Last of the Mohicans: A Narrative of 1757,fiction,4400
Sophie's Choice,nonfiction,4400
Shopaholic and Sister,fiction,4400
The Iron Daughter,fiction,4400
The Prayer of Jabez:  Breaking Through to the Blessed Life,nonfiction,4400
The Age of Miracles,fiction,4400
Have a Little Faith: A True Story,nonfiction,4400
My Life in France,fiction,4400
The Rosie Effect,fiction,4360
The Secret of the Nagas.,fiction,4360
Ham on Rye,fiction,4360
Flipped,nonfiction,4360
Emotional Intelligence 2.0,fiction,4360
Make Way for Ducklings,nonfiction,4360
Relic,fiction,4360
Notes from a Small Island,fiction,4360
Small Favor,nonfiction,4360
The Walking Dead Compendium Volume 1,fiction,4360
Princess Academy,fiction,4360
"Everything, Everything",fiction,4360
Pygmalion,fiction,4360
Flight Behavior,fiction,4360
Grip of the Shadow Plague,fiction,4360
Bridget Jones: The Edge of Reason,nonfiction,4360
Captain Corelli's Mandolin,fiction,4360
At First Sight,fiction,4320
Down Under,fiction,4320
The Memoirs of Sherlock Holmes,nonfiction,4320
The Orphan Master's Son,fiction,4320
Enchanters' End Game,fiction,4320
Persepolis,nonfiction,4320
The Chosen,fiction,4320
The Agony and the Ecstasy: A Biographical Novel of Michelangelo,fiction,4320
El juego del Ã¡ngel,fiction,4320
Where Rainbows End,nonfiction,4320
Amelia Bedelia,fiction,4320
This Man,fiction,4320
A Dog's Purpose ,fiction,4320
An Ember in the Ashes,fiction,4320
"Lover Enshrined, part one",fiction,4320
The Golem and the Jinni,fiction,4320
Ø§Ù„Ø£Ø³ÙˆØ¯ ÙŠÙ„ÙŠÙ‚ Ø¨Ùƒ,nonfiction,4320
The Slippery Slope,fiction,4320
Bleak House,fiction,4320
"Caps for sale: a tale of a peddler, some monkeys and their monkey business",fiction,4280
Furies of Calderon ,fiction,4280
Alanna: The First Adventure,fiction,4280
Her Fearful Symmetry,nonfiction,4280
The Boston Girl,fiction,4280
"Lover Enshrined, part two",children,4280
The Fall of Hyperion,nonfiction,4280
The Black Dahlia,fiction,4280
"Through the Looking-Glass, and What Alice Found There",fiction,4280
Wild Swans: Three Daughters of China,nonfiction,4280
"Go, Dog. Go!",fiction,4280
,fiction,4280
Finders Keepers,fiction,4280
The Strain,fiction,4280
The Complete Poems of Emily Dickinson,fiction,4280
Old Yeller,fiction,4280
Born Standing Up: A Comic's Life,nonfiction,4280
PostSecret: Extraordinary Confessions from Ordinary Lives,nonfiction,4280
A Storm of Swords: Part 2 Blood and Gold,fiction,4280
The Borrowers Afield,fiction,4240
Hearts in Atlantis,fiction,4240
,fiction,4240
ç¾Šã‚’ã‚ãã‚‹å†’é™º [HitsujiwomegurubÅken],nonfiction,4240
The Queen's Fool,fiction,4240
Days of Blood & Starlight,fiction,4240
Jitterbug Perfume,fiction,4240
"The Battle for Skandia (Ranger's Apprentice, #4)",fiction,4240
The Darkest Minds,fiction,4240
O Zahir,fiction,4240
The Power of Positive Thinking,fiction,4240
"In a Dark, Dark Wood ",fiction,4240
The House of Mirth,fiction,4240
Fairy Tail 1,fiction,4240
The Slow Regard of Silent Things,fiction,4240
Twelve Years a Slave,fiction,4240
"Lover Avenged, part one",fiction,109
In the Heart of the Sea: The Tragedy of the Whaleship Essex,fiction,109
Infidel,fiction,109
The Black Swan: The Impact of the Highly Improbable,fiction,109
The Twelve,fiction,108
ÐžÐ´Ð¸Ð½ Ð´ÐµÐ½ÑŒ Ð˜Ð²Ð°Ð½Ð° Ð”ÐµÐ½Ð¸ÑÐ¾Ð²Ð¸Ñ‡Ð°,fiction,108
The Diamond Age,fiction,108
A Canticle for Leibowitz,fiction,108
á¼ˆÎ½Ï„Î¹Î³ÏŒÎ½Î·,fiction,108
Brooklyn,fiction,108
Wither,fiction,108
Hillbilly Elegy. A Memoir of a Family and Culture in Crisis,fiction,108
Crossroads of Twilight,fiction,108
The Red Badge of Courage,fiction,108
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,fiction,108
Gardens of the Moon,fiction,108
A Bruxa de Portobello,fiction,108
A Swiftly Tilting Planet,fiction,108
Gregor the Overlander,fiction,108
Sing You Home,fiction,108
The Tale of the Body Thief,fiction,108
The Camel Club,nonfiction,108
Saving The World and Other Extreme Sports,fiction,108
Blood of the Fold,fiction,108
The Boleyn Inheritance,fiction,108
A Spool of Blue Thread,fiction,108
The Underground Railroad,fiction,108
Masquerade,fiction,108
The Iron Queen,nonfiction,108
Losing It,fiction,108
The Racketeer,fiction,108
Disgrace,fiction,108
The House at Pooh Corner,fiction,108
The Black Prism,fiction,108
The Mermaid Chair,fiction,108
Frog and Toad Are Friends,nonfiction,108
The Carnivorous Carnival,fiction,107
Heist Society,fiction,107
Behind Closed Doors,fiction,107
The Killer Angels,nonfiction,107
"Circus of the Damned (Anita Blake, Vampire Hunter, #3)",fiction,107
Ptolemy's Gate,fiction,107
The Island of Dr. Moreau,fiction,107
Opal,fiction,107
Zeitoun,fiction,107
Out of My Mind,nonfiction,107
Rapture,nonfiction,107
Switched,fiction,107
Ð”Ð¾ÐºÑ‚Ð¾Ñ€ Ð–Ð¸Ð²Ð°Ð³Ð¾,fiction,107
,nonfiction,107
Pines,fiction,107
Disclosure,fiction,107
Death Comes to Pemberley,fiction,107
Ethan Frome,nonfiction,107
A Map of the World,fiction,107
It Ends with Us,fiction,107
The Gift of the Magi,nonfiction,107
The Electric Kool-Aid Acid Test,fiction,107
The Naked Lunch,fiction,107
The Sandman: Dream Country,fiction,107
A Painted House,nonfiction,107
The Left Hand of Darkness,fiction,107
Let It Snow: Three Holiday Romances,fiction,107
"Full Dark, No Stars",fiction,107
Being Mortal: Medicine and What Matters in the End,fiction,107
Intensity,fiction,106
Chelsea Chelsea Bang Bang,children,106
Et dukkehjem,fiction,106
Hawaii,fiction,106
Revolutionary Road,fiction,106
Nick & Norah's Infinite Playlist,fiction,106
Rosencrantz and Guildenstern are Dead,nonfiction,106
Forever,fiction,106
The Beach,fiction,106
Saving CeeCee Honeycutt,fiction,106
Deadlocked,nonfiction,106
Everything's Eventual: 14 Dark Tales,fiction,106
Beezus and Ramona,fiction,106
The Farthest Shore,nonfiction,106
Airframe,fiction,106
Magician,fiction,106
Bet Me,fiction,106
Long Walk to Freedom: The Autobiography of Nelson Mandela,fiction,106
Gray Mountain,nonfiction,106
The Power of One,fiction,106
The Maltese Falcon,fiction,106
Night Road,fiction,106
Tripwire,fiction,106
