name,genre,unitssold
Song of Susannah,fiction,4239
Reached,fiction,4239
Midnight's Children,nonfiction,4239
The Zombie Survival Guide: Complete Protection from the Living Dead,fiction,4212
The Testament,nonfiction,4212
Murder at the Vicarage,nonfiction,4212
Among the Hidden ,fiction,4185
In Defense of Food: An Eater's Manifesto,fiction,4185
The Witch of Blackbird Pond,nonfiction,4158
The Heir,fiction,4158
Shopaholic Ties the Knot,fiction,4158
The Woman in White,fiction,4158
Career of Evil,fiction,4158
The Summer I Turned Pretty,fiction,4131
Four to Score ,fiction,4131
The Color of Water: A Black Man's Tribute to His White Mother,fiction,4131
"SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",fiction,4131
Darkfever,fiction,4104
Stone of Tears,fiction,4104
Heart of the Matter,fiction,4104
Vanity Fair: A Novel Without a Hero,fiction,4077
The Sirens of Titan,fiction,4077
Dolores Claiborne,fiction,4077
The Nest,nonfiction,4077
"Fables, Volume 1: Legends in Exile",fiction,4050
Getting Things Done: How To Achieve Stress-free Productivity,fiction,4050
The Celestine Prophecy,fiction,4023
My Life Next Door ,fiction,4023
Winter of the World,nonfiction,4023
"è‰²å½©ã‚’æŒãŸãªã„å¤šå´Žã¤ãã‚‹ã¨ã€å½¼ã®å·¡ç¤¼ã®å¹´ [Shikisai o motanai Tazaki Tsukuru to, kare no junrei no toshi]",fiction,4023
Lucky,children,4023
To The Lighthouse ,fiction,3996
Five Point Someone: What Not to Do at IIT,fiction,3996
Guilty Pleasures,fiction,3996
The Messenger,fiction,3969
Far from the Madding Crowd,fiction,3969
Equal Rites,fiction,3969
House of Leaves,fiction,3969
Cruel & Unusual,fiction,3969
Sycamore Row,fiction,3969
Awakened,fiction,3942
My Ãntonia,fiction,3942
Life As We Knew It,nonfiction,3942
America (The Book): A Citizen's Guide to Democracy Inaction,nonfiction,3942
90 Minutes in Heaven,fiction,3942
The Longest Ride,fiction,3942
é“å¾·ç¶“ [dÃ o dÃ© jÄ«ng],fiction,3915
Kane and Abel,fiction,3915
Change of Heart,fiction,3915
Dry: A Memoir,children,3915
Sam's Letters To Jennifer,fiction,3915
Grey,fiction,3888
Dune Messiah ,fiction,3861
The Great Divorce,fiction,3861
Little Earthquakes,nonfiction,3861
Eventyr og historier,fiction,3834
New Moon: The Complete Illustrated Movie Companion,fiction,61560
Maybe Someday,fiction,61128
Mr Maybe,fiction,61128
Anne of the Island,fiction,60696
Also sprach Zarathustra,fiction,59400
North and South,fiction,58968
A Stolen Life,fiction,57240
The Immortals of Meluha,fiction,56808
The Lost World,fiction,55728
Requiem,fiction,55080
A Crown of Swords,nonfiction,54000
Aesopica,fiction,53784
Blood Meridian: Or the Evening Redness in the West,fiction,53784
Finale,fiction,53784
Skeleton Crew,fiction,53568
Lullaby,fiction,53352
Two States,fiction,53352
ãƒ´ã‚¡ãƒ³ãƒ‘ã‚¤ã‚¢é¨Žå£« 1,nonfiction,53136
Summer Knight,fiction,52920
Dragonflight,fiction,52488
"The History of the Hobbit, Part One: Mr. Baggins",fiction,52488
Ugly Love,fiction,52488
Chocolat,nonfiction,52056
The Amityville Horror,fiction,52056
The English Patient,fiction,51840
Gabriel's Rapture,fiction,51624
Dubliners,fiction,51408
Let the Great World Spin,fiction,51192
The Eternity Code,fiction,51192
