title	author	rating	genres	genre	pages	num_awards	awards	numRatings	ratingsByStars	likedPercent	bbeScore	bbeVotes																																																										
Harry Potter and the Sorcerer's Stone	"J.K. Rowling, Mary GrandPré (Illustrator)"	4.47	"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Classics', 'Audiobook', 'Science Fiction Fantasy']"	Fantasy	309	27	"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", ""British Book Award for Children's Book of the Year (1998)"", 'Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002)', 'American Booksellers Book Of The Year  Award for Children (1999)', 'Audie Award (2000)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000)"", 'South Carolina Book Aw"						ard for Chapter Bo	ok (20	"01)', """	"""Nevada Yo"	ung Rea	ders'	Awar	d for You	ng	Rea	der C	ategor	"y (2000)"""	""", 'Golden"	Arche	r Awar	d for	Middle/Junior High (2000	")', 'India"	n Pain	tbrush Bo	ok Awa	"rd (2000)', 'H"	otze de	R	oosprijs	-2002	"', 'N"	estl�	� Smar	ties	Book Prize for	9–1	1 yea	rs (1	"997)',"	'Eliot Ro	sew	ater Ind	iana High Schoo	l Book Award (	2001	")', 'Kinderboek"	winkelprij	s	"(1999)', 'Parenting Book o"	"f the Year Award (1998)', 'Nor"	th	Eas	t	Te	en	age	Book A	wa	rd	-1999	"', """"Specsavers National Book Award for Children's Book of the Year (1998)"""", 'Washington State Sasquatch Award (2000)', 'Literaturpreis der Jury der jungen Leser for Kinderbuch (1999)', 'Carnegie Medal Nominee (1997)', """"Rebecca Caudill Young Readers' Book Award (2001)"""", 'Premi Protagonista Jove for Categoria 12-13 anys (2000)']"",7048471,""['4578137', '1611874', '600384', '139551', '118525']"",96,691430,7348"
The Little Prince	"Antoine de Saint-Exupéry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyễn Thành Vũ (Illustrator)"	4.31	"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Young Adult', 'Philosophy', 'Literature', 'French Literature', 'Middle Grade']"	Classics	93	0	['Retro Hugo Award for Best Novella (2019)']	1363048	"['765471', '352384', '170246', '50086', '24861']"	95	690461	7388																																																										
Charlotte's Web	"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)"	4.17	"['Classics', 'Childrens', 'Fiction', 'Young Adult', 'Fantasy', 'Animals', 'Middle Grade', 'Juvenile', 'School', 'Chapter Books']"	Classics	184	4	"['Newbery Medal Nominee (1953)', ""George C. Stone Center for Children's Books Recognition of Merit Award (1970)"", 'Audie Award Nominee for Audiobook of the Year and Middle Grade (2020)', ""Massachusetts Children's Book Award (1984)"", 'Laura Ingalls Wilder Award (1970)']"	1417302	"['667602', '435898', '234523', '52346', '26933']"	94	681142	7358																																																										
Of Mice and Men	John Steinbeck	3.88	"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School', 'American', 'Classic Literature']"	Classics	103	0	"[""New York Drama Critics' Circle Award for Best American Play (1938)""]"	1942168	"['634457', '681382', '437709', '132901', '55719']"	90	667925	7218																																																										
The Time Traveler's Wife	Audrey Niffenegger (Goodreads Author)	3.97	"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult', 'Chick Lit', 'Adult Fiction', 'Magical Realism']"	Fiction	500	5	"['Arthur C. Clarke Award Nominee (2005)', 'Orange Prize Nominee for Fiction Longlist (2004)', 'British Book Award (2006)', 'John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2005)', 'Exclusive Books Boeke Prize (2005)', 'ALA Alex Award (2004)']"	1573857	"['611265', '511614', '302023', '97893', '51062']"	91	666335	6969																																																										
Dracula	"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)"	4	"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal', 'Literature', 'Audiobook', 'Supernatural']"	Classics	488		[]	938325	"['345260', '329217', '197206', '48642', '18000']"	93	646782	6988																																																										
Brave New World	Aldous Huxley	3.99	"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School', 'Fantasy', 'Philosophy', 'Science Fiction Fantasy']"	Classics	288		[]	1441287	"['527202', '517142', '283812', '78322', '34809']"	92	636202	6835																																																										
One Hundred Years of Solitude	"Gabriel García Márquez, Gregory Rabassa (Translator)"	4.08	"['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Novels', 'Fantasy', 'Historical Fiction', 'Spanish Literature', 'Literary Fiction', 'Latin American']"	Fiction	417	1	"['Premio Internacional de Novela Rómulo Gallegos (1972)', 'Prix du Meilleur Livre Étranger for Roman (1969)']"	753470	"['361401', '202144', '111026', '46474', '32425']"	90	621264	6543																																																										
The Catcher in the Rye	J.D. Salinger	3.81	"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age', 'American', 'High School', 'Read For School']"	Classics	277	1	"['Teen Read Award Nominee for Best All-Time-Fave (2010)', 'National Book Award Finalist for Fiction (1952)']"	2736523	"['937208', '846027', '579292', '234980', '139016']"	86	603268	6533																																																										
The Princess Bride	William Goldman	4.26	"['Fantasy', 'Fiction', 'Classics', 'Romance', 'Humor', 'Young Adult', 'Adventure', 'Science Fiction Fantasy', 'Comedy', 'Fairy Tales']"	Fantasy	456		[]	779597	"['403082', '230637', '103925', '26081', '15872']"	95	601669	6413																																																										
The Lightning Thief	Rick Riordan (Goodreads Author)	4.26	"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Urban Fantasy', 'Greek Mythology', 'Magic']"	Fantasy	375	13	"[""Young Readers' Choice Award (2008)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011)', 'South Carolina Book Award for Junior Book Award (2008)', 'Grand Canyon Reader Award for Tween Book (2008)', 'Nene Award (2008)', ""Massachusetts Children's Book Award (2008)"", ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2008)"", 'Rhode Island Teen Book Award Nominee (2007)', 'Sunshine State Young Reade"						Readers' Book Awar	d (200	"9)""""]"","	"1992300,""["	'100688	"5', '"	60499	"9', '2893"	10	"', '"	64014	"', '27"	"092']"",95"	",597132,637"	0																																											
The Secret Garden	Frances Hodgson Burnett	4.13	"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Literature', 'Fantasy', 'Historical', 'Audiobook']"	Classics	331	0	['Lewis Carroll Shelf Award (1958)']	891374	"['381307', '306569', '158245', '32814', '12439']"	95	585722	6445																																																										
A Thousand Splendid Suns	Khaled Hosseini (Goodreads Author)	4.38	"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'War', 'Adult Fiction', 'Adult', 'Drama', 'Literature']"	Fiction	372	4	"['British Book Award for Best Read of the Year (2008)', 'Book Sense Book of the Year Award for Adult Fiction (2008)', 'California Book Award for Fiction (Silver) (2007)', 'Exclusive Books Boeke Prize Nominee (2007)', 'Lincoln Award Nominee (2011)']"	1151288	"['624406', '376677', '119523', '21990', '8692']"	97	580722	6164																																																										
A Wrinkle in Time	Madeleine L'Engle	4	"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']"	Fantasy	218	3	"['Newbery Medal (1963)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1964)"", 'Oklahoma Sequoyah Award (1965)', 'Margaret A. Edwards Award (1998)']"	1051535	"['425481', '327970', '200267', '63557', '34260']"	91	562789	6014																																																										
A Game of Thrones	George R.R. Martin	4.45	"['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Dragons', 'Audiobook', 'Epic']"	Fantasy	835	3	"['Nebula Award Nominee for Best Novel (1997)', 'Locus Award for Best Fantasy Novel (1997)', 'World Fantasy Award Nominee for Best Novel (1997)', 'Premio Ignotus for Novela extranjera (2003)']"	2003043	"['1231600', '540493', '156705', '41880', '32365']"	96	562241	6007																																																										
The Adventures of Huckleberry Finn	"Mark Twain, Guy Cardwell (Notes), John Seelye (Introduction), Walter Trier (Ilustrator)"	3.82	"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School', 'Novels', 'Read For School', 'American']"	Classics	327		[]	1151767	"['348906', '397153', '288029', '85514', '32165']"	90	516841	5691																																																										
